Instance_ID x_center y_center
0 78060.0 42.0
1 77676.0 42.0
2 780.0 42.0
3 31404.0 49157.0
4 29196.0 49157.0
5 28716.0 49157.0
6 28620.0 49157.0
7 28524.0 49157.0
8 28908.0 49157.0
9 30156.0 49157.0
10 31212.0 49157.0
11 32460.0 49157.0
12 32556.0 49157.0
13 876.0 42.0
14 33228.0 49157.0
15 32364.0 49157.0
16 31596.0 49157.0
17 34572.0 49157.0
18 34668.0 49157.0
19 33324.0 49157.0
20 32172.0 49157.0
21 31500.0 49157.0
22 34380.0 49157.0
23 34284.0 49157.0
24 972.0 42.0
25 32268.0 49157.0
26 30924.0 49157.0
27 1068.0 42.0
28 1164.0 42.0
29 1260.0 42.0
30 1356.0 42.0
31 1452.0 42.0
32 29964.0 49157.0
33 32076.0 49157.0
34 5196.0 42.0
35 22764.0 49157.0
36 77868.0 42.0
37 64044.0 49157.0
38 59916.0 49157.0
39 64428.0 49157.0
40 60396.0 49157.0
41 79289.0 30636.0
42 59724.0 49157.0
43 26316.0 49157.0
44 62316.0 49157.0
45 27756.0 49157.0
46 61836.0 49157.0
47 77772.0 42.0
48 66252.0 49157.0
49 60300.0 49157.0
50 66540.0 49157.0
51 60684.0 49157.0
52 79289.0 30924.0
53 61740.0 49157.0
54 79289.0 32652.0
55 63468.0 49157.0
56 66348.0 49157.0
57 61644.0 49157.0
58 63660.0 49157.0
59 30060.0 49157.0
60 63180.0 49157.0
61 63948.0 49157.0
62 64716.0 49157.0
63 61452.0 49157.0
64 30252.0 49157.0
65 31308.0 49157.0
66 62796.0 49157.0
67 61548.0 49157.0
68 49068.0 49157.0
69 49164.0 49157.0
70 47628.0 49157.0
71 48588.0 49157.0
72 28332.0 42.0
73 29772.0 42.0
74 41292.0 42.0
75 40620.0 42.0
76 39276.0 42.0
77 39372.0 42.0
78 39180.0 42.0
79 40044.0 42.0
80 39660.0 42.0
81 39756.0 42.0
82 45324.0 49157.0
83 39852.0 42.0
84 39948.0 42.0
85 45036.0 49157.0
86 40524.0 42.0
87 40140.0 42.0
88 40236.0 42.0
89 40140.0 49157.0
90 41004.0 42.0
91 43212.0 42.0
92 39564.0 42.0
93 42348.0 42.0
94 39468.0 42.0
95 42060.0 42.0
96 40908.0 42.0
97 40332.0 42.0
98 41772.0 49157.0
99 41100.0 42.0
100 41196.0 42.0
101 41388.0 42.0
102 41484.0 42.0
103 40812.0 42.0
104 40428.0 42.0
105 43692.0 49157.0
106 28524.0 42.0
107 28812.0 42.0
108 50220.0 49157.0
109 52524.0 42.0
110 50124.0 49157.0
111 51852.0 49157.0
112 50892.0 42.0
113 50796.0 49157.0
114 52236.0 42.0
115 53196.0 42.0
116 53484.0 42.0
117 51660.0 42.0
118 50316.0 49157.0
119 48972.0 42.0
120 52524.0 49157.0
121 50412.0 49157.0
122 52716.0 49157.0
123 52140.0 42.0
124 49068.0 42.0
125 49164.0 42.0
126 53100.0 42.0
127 50604.0 42.0
128 52428.0 49157.0
129 51468.0 49157.0
130 52620.0 42.0
131 52620.0 49157.0
132 50220.0 42.0
133 51660.0 49157.0
134 53772.0 49157.0
135 51564.0 49157.0
136 53868.0 49157.0
137 50796.0 42.0
138 53676.0 49157.0
139 51372.0 49157.0
140 29676.0 49157.0
141 25356.0 49157.0
142 19980.0 49157.0
143 27564.0 49157.0
144 32844.0 49157.0
145 39180.0 49157.0
146 29772.0 49157.0
147 27372.0 49157.0
148 27948.0 49157.0
149 27468.0 49157.0
150 38892.0 49157.0
151 39084.0 49157.0
152 34764.0 49157.0
153 35244.0 49157.0
154 33420.0 49157.0
155 37740.0 49157.0
156 37452.0 49157.0
157 35148.0 49157.0
158 35340.0 49157.0
159 36396.0 49157.0
160 34860.0 49157.0
161 34476.0 49157.0
162 38316.0 49157.0
163 39468.0 49157.0
164 38988.0 49157.0
165 37932.0 49157.0
166 38028.0 49157.0
167 32748.0 49157.0
168 39564.0 49157.0
169 33516.0 49157.0
170 33612.0 49157.0
171 35916.0 49157.0
172 36108.0 49157.0
173 31692.0 49157.0
174 28044.0 49157.0
175 77580.0 42.0
176 42.0 35436.0
177 42.0 35820.0
178 42.0 35916.0
179 42.0 36492.0
180 42.0 36588.0
181 42.0 36012.0
182 42.0 36780.0
183 42.0 33324.0
184 42.0 35052.0
185 42.0 32748.0
186 77964.0 42.0
187 42.0 36684.0
188 42.0 36300.0
189 42.0 35532.0
190 42.0 34188.0
191 42.0 34380.0
192 42.0 33900.0
193 42.0 32364.0
194 42.0 32076.0
195 42.0 31884.0
196 42.0 31596.0
197 42.0 33132.0
198 42.0 31116.0
199 42.0 31020.0
200 42.0 32652.0
201 42.0 33420.0
202 42.0 33708.0
203 42.0 33804.0
204 42.0 34476.0
205 42.0 34572.0
206 42.0 35148.0
207 42.0 24396.0
208 42.0 30732.0
209 42.0 22860.0
210 42.0 25548.0
211 42.0 25260.0
212 42.0 23724.0
213 42.0 24108.0
214 42.0 22380.0
215 42.0 22284.0
216 42.0 23532.0
217 42.0 23916.0
218 42.0 23820.0
219 42.0 24492.0
220 42.0 23052.0
221 42.0 26028.0
222 42.0 27564.0
223 42.0 27468.0
224 42.0 26796.0
225 42.0 27180.0
226 42.0 26700.0
227 42.0 26124.0
228 42.0 25164.0
229 42.0 25068.0
230 42.0 24588.0
231 42.0 22572.0
232 42.0 22764.0
233 42.0 22956.0
234 42.0 22668.0
235 42.0 24300.0
236 42.0 24012.0
237 42.0 24204.0
238 42.0 26316.0
239 42.0 22476.0
240 42.0 26220.0
241 42.0 30444.0
242 42.0 30060.0
243 39276.0 49157.0
244 38700.0 49157.0
245 38220.0 49157.0
246 38124.0 49157.0
247 39660.0 49157.0
248 39372.0 49157.0
249 36684.0 49157.0
250 38796.0 49157.0
251 37836.0 49157.0
