Instance_ID x_center y_center
0 42.0 780.0
1 42.0 876.0
2 780.0 42.0
3 38028.0 59314.0
4 39948.0 59314.0
5 40044.0 59314.0
6 40812.0 59314.0
7 38508.0 59314.0
8 40716.0 59314.0
9 37932.0 59314.0
10 38412.0 59314.0
11 38604.0 59314.0
12 40620.0 59314.0
13 876.0 42.0
14 41004.0 59314.0
15 39660.0 59314.0
16 40332.0 59314.0
17 41388.0 59314.0
18 42156.0 59314.0
19 41772.0 59314.0
20 41484.0 59314.0
21 41676.0 59314.0
22 41292.0 59314.0
23 41868.0 59314.0
24 972.0 42.0
25 41964.0 59314.0
26 41580.0 59314.0
27 1068.0 42.0
28 1164.0 42.0
29 1260.0 42.0
30 1356.0 42.0
31 1452.0 42.0
32 40140.0 59314.0
33 42060.0 59314.0
34 42.0 39372.0
35 24492.0 59314.0
36 42.0 972.0
37 37164.0 42.0
38 65465.0 32460.0
39 36780.0 42.0
40 55692.0 59314.0
41 65465.0 25164.0
42 55116.0 59314.0
43 37740.0 42.0
44 55596.0 59314.0
45 36492.0 42.0
46 54732.0 59314.0
47 2700.0 42.0
48 65465.0 25452.0
49 65465.0 32364.0
50 38700.0 42.0
51 55788.0 59314.0
52 65465.0 30732.0
53 56748.0 59314.0
54 65465.0 27852.0
55 55884.0 59314.0
56 55980.0 59314.0
57 56460.0 59314.0
58 39276.0 42.0
59 42252.0 59314.0
60 55404.0 59314.0
61 38892.0 42.0
62 65465.0 25644.0
63 65465.0 49548.0
64 65465.0 26316.0
65 42444.0 59314.0
66 65465.0 24396.0
67 65465.0 45132.0
68 65465.0 24684.0
69 37068.0 42.0
70 37356.0 42.0
71 37452.0 42.0
72 31500.0 59314.0
73 31788.0 59314.0
74 28620.0 59314.0
75 42.0 35244.0
76 42.0 36108.0
77 26316.0 59314.0
78 25548.0 59314.0
79 26220.0 59314.0
80 29772.0 59314.0
81 28428.0 59314.0
82 29388.0 59314.0
83 42.0 35052.0
84 42.0 36396.0
85 29580.0 59314.0
86 26028.0 59314.0
87 25356.0 59314.0
88 25452.0 59314.0
89 30060.0 59314.0
90 28332.0 59314.0
91 29676.0 59314.0
92 42.0 34668.0
93 42.0 35916.0
94 24588.0 59314.0
95 26796.0 59314.0
96 42.0 35148.0
97 25644.0 59314.0
98 30348.0 59314.0
99 42.0 36012.0
100 26124.0 59314.0
101 26988.0 59314.0
102 25932.0 59314.0
103 29484.0 59314.0
104 28236.0 59314.0
105 30252.0 59314.0
106 33228.0 59314.0
107 33132.0 59314.0
108 41388.0 42.0
109 40908.0 42.0
110 41484.0 42.0
111 42060.0 42.0
112 41868.0 42.0
113 41580.0 42.0
114 39948.0 42.0
115 40140.0 42.0
116 40236.0 42.0
117 41676.0 42.0
118 41772.0 42.0
119 40812.0 42.0
120 43308.0 42.0
121 43788.0 42.0
122 43500.0 42.0
123 39756.0 42.0
124 39468.0 42.0
125 40044.0 42.0
126 40332.0 42.0
127 39564.0 42.0
128 43404.0 42.0
129 43596.0 42.0
130 41964.0 42.0
131 43692.0 42.0
132 41196.0 42.0
133 42732.0 42.0
134 42636.0 42.0
135 43884.0 42.0
136 42348.0 42.0
137 39660.0 42.0
138 42444.0 42.0
139 42540.0 42.0
140 32844.0 59314.0
141 37836.0 59314.0
142 23340.0 59314.0
143 65465.0 47340.0
144 45612.0 59314.0
145 42540.0 59314.0
146 46284.0 59314.0
147 46188.0 59314.0
148 42348.0 59314.0
149 45996.0 59314.0
150 45420.0 59314.0
151 45900.0 59314.0
152 44844.0 59314.0
153 45708.0 59314.0
154 47244.0 59314.0
155 45324.0 59314.0
156 44460.0 59314.0
157 44364.0 59314.0
158 45516.0 59314.0
159 44652.0 59314.0
160 44268.0 59314.0
161 46380.0 59314.0
162 43884.0 59314.0
163 45804.0 59314.0
164 44940.0 59314.0
165 43596.0 59314.0
166 46092.0 59314.0
167 45228.0 59314.0
168 65465.0 48108.0
169 47436.0 59314.0
170 47340.0 59314.0
171 65465.0 46284.0
172 42828.0 59314.0
173 43308.0 59314.0
174 65465.0 48204.0
175 2508.0 42.0
176 25836.0 59314.0
177 24396.0 59314.0
178 25740.0 59314.0
179 27276.0 59314.0
180 28044.0 59314.0
181 26700.0 59314.0
182 28140.0 59314.0
183 17868.0 59314.0
184 20940.0 59314.0
185 19020.0 59314.0
186 2604.0 42.0
187 23244.0 59314.0
188 22572.0 59314.0
189 21996.0 59314.0
190 21804.0 59314.0
191 20748.0 59314.0
192 19596.0 59314.0
193 17676.0 59314.0
194 17580.0 59314.0
195 18732.0 59314.0
196 17484.0 59314.0
197 18540.0 59314.0
198 18060.0 59314.0
199 17964.0 59314.0
200 17772.0 59314.0
201 18636.0 59314.0
202 20652.0 59314.0
203 19692.0 59314.0
204 18444.0 59314.0
205 18348.0 59314.0
206 19788.0 59314.0
207 42.0 47820.0
208 19980.0 59314.0
209 42.0 45228.0
210 42.0 46956.0
211 42.0 46284.0
212 42.0 45612.0
213 42.0 44556.0
214 42.0 44748.0
215 42.0 44460.0
216 42.0 48012.0
217 42.0 48684.0
218 42.0 48588.0
219 42.0 51180.0
220 42.0 45132.0
221 12876.0 59314.0
222 16524.0 59314.0
223 14892.0 59314.0
224 16428.0 59314.0
225 14220.0 59314.0
226 16332.0 59314.0
227 13740.0 59314.0
228 13452.0 59314.0
229 42.0 51084.0
230 42.0 49836.0
231 42.0 46860.0
232 42.0 48396.0
233 42.0 49644.0
234 42.0 45324.0
235 42.0 44172.0
236 42.0 45996.0
237 42.0 45900.0
238 42.0 46188.0
239 42.0 46380.0
240 42.0 47340.0
241 20172.0 59314.0
242 19500.0 59314.0
243 43980.0 59314.0
244 42732.0 59314.0
245 44556.0 59314.0
246 42924.0 59314.0
247 43212.0 59314.0
248 43020.0 59314.0
249 44172.0 59314.0
250 45036.0 59314.0
251 44748.0 59314.0
252 45132.0 59314.0
253 43500.0 59314.0
254 43116.0 59314.0
255 44076.0 59314.0
256 43788.0 59314.0
257 42636.0 59314.0
258 43692.0 59314.0
259 41196.0 59314.0
260 65465.0 48396.0
261 43404.0 59314.0
262 62892.0 59314.0
263 24108.0 59314.0
264 32373.0 40635.0
265 31887.0 40095.0
266 30861.0 39015.0
267 33291.0 40635.0
268 33048.0 39285.0
269 32346.0 40095.0
270 33048.0 38475.0
271 33588.0 38745.0
272 32481.0 35235.0
273 36423.0 34965.0
274 37989.0 42255.0
275 35559.0 38205.0
276 27918.0 38745.0
277 32238.0 38475.0
278 33480.0 38205.0
