Instance_ID x_center y_center
0 56190.0 140.0
1 52830.0 140.0
2 2430.0 140.0
3 437390.0 124460.0
4 437390.0 111020.0
5 437390.0 123340.0
6 437390.0 112140.0
7 437390.0 128940.0
8 437390.0 118860.0
9 437390.0 160300.0
10 437390.0 147980.0
11 437390.0 144620.0
12 437390.0 130060.0
13 3550.0 140.0
14 437390.0 142380.0
15 437390.0 141260.0
16 437390.0 117740.0
17 437390.0 143500.0
18 437390.0 151340.0
19 437390.0 158060.0
20 437390.0 135660.0
21 437390.0 136780.0
22 437390.0 134540.0
23 437390.0 145740.0
24 4670.0 140.0
25 437390.0 153580.0
26 437390.0 139020.0
27 5790.0 140.0
28 6910.0 140.0
29 8030.0 140.0
30 9150.0 140.0
31 10270.0 140.0
32 437390.0 116620.0
33 437390.0 121100.0
34 140.0 378700.0
35 214110.0 140.0
36 55070.0 140.0
37 437390.0 264460.0
38 437390.0 258860.0
39 437390.0 261100.0
40 437390.0 272300.0
41 437390.0 262220.0
42 271230.0 394040.0
43 270110.0 394040.0
44 268990.0 394040.0
45 437390.0 246540.0
46 437390.0 247660.0
47 53950.0 140.0
48 260030.0 394040.0
49 437390.0 302540.0
50 437390.0 256620.0
51 437390.0 254380.0
52 437390.0 253260.0
53 437390.0 300300.0
54 277950.0 394040.0
55 437390.0 295820.0
56 437390.0 255500.0
57 437390.0 248780.0
58 254430.0 394040.0
59 437390.0 259980.0
60 437390.0 263340.0
61 255550.0 394040.0
62 267870.0 394040.0
63 437390.0 252140.0
64 437390.0 251020.0
65 437390.0 257740.0
66 275710.0 394040.0
67 437390.0 249900.0
68 264510.0 394040.0
69 261150.0 394040.0
70 235390.0 394040.0
71 251070.0 394040.0
72 211870.0 394040.0
73 140.0 211820.0
74 140.0 223020.0
75 262270.0 394040.0
76 242110.0 394040.0
77 258910.0 394040.0
78 140.0 254380.0
79 140.0 242060.0
80 266750.0 394040.0
81 140.0 225260.0
82 140.0 233100.0
83 248830.0 394040.0
84 253310.0 394040.0
85 140.0 231980.0
86 247710.0 394040.0
87 140.0 249900.0
88 140.0 244300.0
89 244350.0 394040.0
90 215230.0 394040.0
91 140.0 229740.0
92 245470.0 394040.0
93 256670.0 394040.0
94 257790.0 394040.0
95 140.0 253260.0
96 263390.0 394040.0
97 140.0 243180.0
98 237630.0 394040.0
99 252190.0 394040.0
100 249950.0 394040.0
101 140.0 248780.0
102 212990.0 394040.0
103 246590.0 394040.0
104 140.0 224140.0
105 140.0 230860.0
106 140.0 206220.0
107 140.0 207340.0
108 228670.0 394040.0
109 225310.0 394040.0
110 233150.0 394040.0
111 217470.0 394040.0
112 216350.0 394040.0
113 140.0 266700.0
114 218590.0 394040.0
115 140.0 261100.0
116 243230.0 394040.0
117 140.0 265580.0
118 239870.0 394040.0
119 240990.0 394040.0
120 140.0 262220.0
121 140.0 274540.0
122 140.0 272300.0
123 140.0 273420.0
124 140.0 276780.0
125 234270.0 394040.0
126 214110.0 394040.0
127 238750.0 394040.0
128 221950.0 394040.0
129 219710.0 394040.0
130 224190.0 394040.0
131 220830.0 394040.0
132 223070.0 394040.0
133 226430.0 394040.0
134 227550.0 394040.0
135 232030.0 394040.0
136 265630.0 394040.0
137 230910.0 394040.0
138 229790.0 394040.0
139 236510.0 394040.0
140 437390.0 179340.0
141 226430.0 140.0
142 209630.0 140.0
143 251070.0 140.0
144 304830.0 140.0
145 273470.0 140.0
146 277950.0 140.0
147 290270.0 140.0
148 295870.0 140.0
149 293630.0 140.0
150 307070.0 140.0
151 314910.0 140.0
152 320510.0 140.0
153 316030.0 140.0
154 286910.0 140.0
155 326110.0 140.0
156 308190.0 140.0
157 327230.0 140.0
158 299230.0 140.0
159 333950.0 140.0
160 329470.0 140.0
161 338430.0 140.0
162 337310.0 140.0
163 336190.0 140.0
164 321630.0 140.0
165 247710.0 140.0
166 317150.0 140.0
167 305950.0 140.0
168 272350.0 140.0
169 271230.0 140.0
170 266750.0 140.0
171 260030.0 140.0
172 255550.0 140.0
173 292510.0 140.0
174 280190.0 140.0
175 51710.0 140.0
176 437390.0 133420.0
177 437390.0 131180.0
178 437390.0 137900.0
179 437390.0 132300.0
180 437390.0 140140.0
181 437390.0 146860.0
182 437390.0 156940.0
183 437390.0 154700.0
184 437390.0 159180.0
185 437390.0 162540.0
186 50590.0 140.0
187 437390.0 161420.0
188 437390.0 167020.0
189 437390.0 168140.0
190 437390.0 173740.0
191 437390.0 171500.0
192 437390.0 163660.0
193 437390.0 150220.0
194 437390.0 155820.0
195 437390.0 172620.0
196 437390.0 169260.0
197 437390.0 113260.0
198 437390.0 149100.0
199 437390.0 152460.0
200 437390.0 115500.0
201 437390.0 119980.0
202 437390.0 125580.0
203 437390.0 114380.0
204 437390.0 122220.0
205 437390.0 126700.0
206 437390.0 127820.0
207 205150.0 140.0
208 437390.0 89740.0
