Instance_ID x_center y_center
0 50124.0 48876.0
1 27372.0 48876.0
2 17100.0 48876.0
3 31980.0 48876.0
4 32652.0 48876.0
5 30828.0 48876.0
6 31596.0 48876.0
7 27180.0 48876.0
8 23916.0 48876.0
9 24108.0 48876.0
10 26988.0 48876.0
11 29772.0 48876.0
12 28140.0 48876.0
13 42.0 27084.0
14 30924.0 48876.0
15 32268.0 48876.0
16 31020.0 42.0
17 30252.0 42.0
18 29100.0 42.0
19 33324.0 42.0
20 33708.0 42.0
21 32460.0 42.0
22 32652.0 42.0
23 32844.0 42.0
24 42.0 24492.0
25 30348.0 42.0
26 29868.0 42.0
27 28428.0 42.0
28 29196.0 42.0
29 29484.0 42.0
30 29292.0 42.0
31 29388.0 42.0
32 30636.0 42.0
33 42.0 23820.0
34 42.0 20844.0
35 42.0 23340.0
36 42.0 22764.0
37 42.0 22380.0
38 42.0 16716.0
39 42.0 17580.0
40 42.0 17388.0
41 13452.0 48876.0
42 42.0 21708.0
43 42.0 20748.0
44 42.0 21132.0
45 42.0 21900.0
46 26124.0 42.0
47 17292.0 48876.0
48 16332.0 48876.0
49 14316.0 48876.0
50 17772.0 48876.0
51 15276.0 48876.0
52 42.0 28332.0
53 42.0 27276.0
54 42.0 26604.0
55 26604.0 48876.0
56 25740.0 48876.0
57 23148.0 48876.0
58 28428.0 48876.0
59 26412.0 48876.0
60 26124.0 48876.0
61 28908.0 48876.0
62 28812.0 48876.0
63 13164.0 48876.0
64 25932.0 48876.0
65 26028.0 48876.0
66 23436.0 48876.0
67 26892.0 42.0
68 28524.0 42.0
69 27084.0 42.0
70 28716.0 42.0
71 31308.0 42.0
72 32172.0 42.0
73 31116.0 42.0
74 42.0 27852.0
75 28332.0 42.0
76 31884.0 42.0
77 32076.0 42.0
78 30924.0 42.0
79 31788.0 42.0
80 32268.0 42.0
81 30732.0 42.0
82 30540.0 42.0
83 28620.0 42.0
84 27276.0 48876.0
85 42.0 27180.0
86 27756.0 48876.0
87 28620.0 48876.0
88 28716.0 48876.0
89 30060.0 48876.0
90 27948.0 48876.0
91 25836.0 48876.0
92 16908.0 48876.0
93 33804.0 48876.0
94 32748.0 48876.0
95 33420.0 48876.0
96 42.0 27756.0
97 30252.0 48876.0
98 30732.0 48876.0
99 25260.0 42.0
100 25356.0 42.0
101 42.0 25836.0
102 25932.0 42.0
103 29580.0 42.0
104 28044.0 42.0
105 29772.0 42.0
106 32748.0 42.0
107 42.0 26220.0
108 30444.0 42.0
109 31212.0 42.0
110 26604.0 42.0
111 32364.0 42.0
112 33516.0 42.0
113 31980.0 42.0
114 33036.0 42.0
115 33420.0 42.0
116 27180.0 42.0
117 26988.0 42.0
118 42.0 25068.0
119 27468.0 42.0
120 29964.0 48876.0
121 28236.0 42.0
122 28140.0 42.0
123 29676.0 42.0
124 30444.0 48876.0
125 27468.0 48876.0
126 25356.0 48876.0
127 24012.0 48876.0
128 33228.0 48876.0
129 42.0 24972.0
130 42.0 28236.0
131 25644.0 48876.0
132 29292.0 48876.0
133 34668.0 48876.0
134 60106.0 26124.0
135 34380.0 48876.0
136 60106.0 27180.0
137 60106.0 27276.0
138 60106.0 26700.0
139 60106.0 27468.0
140 60106.0 26220.0
141 60106.0 26892.0
142 34572.0 48876.0
143 31500.0 48876.0
144 35340.0 48876.0
145 60106.0 24684.0
146 35052.0 42.0
147 35532.0 42.0
148 34668.0 42.0
149 33228.0 42.0
150 35916.0 42.0
151 33612.0 42.0
152 33132.0 42.0
153 34380.0 42.0
154 26412.0 42.0
155 39180.0 42.0
156 39468.0 42.0
157 39372.0 42.0
158 36684.0 42.0
159 36588.0 42.0
160 33996.0 42.0
161 34572.0 42.0
162 35244.0 42.0
163 26220.0 42.0
164 42.0 19500.0
165 42.0 22476.0
166 42.0 20652.0
167 42.0 19404.0
