Instance_ID x_center y_center
0 140.0 52780.0
1 140.0 38220.0
2 140.0 40460.0
3 51710.0 66320.0
4 50590.0 66320.0
5 49470.0 66320.0
6 140.0 47180.0
7 68510.0 66320.0
8 140.0 32620.0
9 140.0 29260.0
10 140.0 27020.0
11 140.0 25900.0
12 140.0 21420.0
13 39390.0 140.0
14 58430.0 140.0
15 79710.0 140.0
16 107950.0 19180.0
17 107950.0 28140.0
18 48350.0 140.0
19 140.0 41580.0
20 39390.0 66320.0
21 41630.0 66320.0
22 140.0 48300.0
23 140.0 18060.0
24 31550.0 66320.0
25 42750.0 66320.0
26 31550.0 140.0
27 44990.0 140.0
28 57310.0 140.0
29 68510.0 140.0
30 67390.0 140.0
31 107950.0 33740.0
32 44990.0 66320.0
33 140.0 31500.0
34 140.0 37100.0
35 140.0 34860.0
36 140.0 30380.0
37 107950.0 39340.0
38 78590.0 66320.0
39 107950.0 43820.0
40 69630.0 66320.0
41 87550.0 66320.0
42 77470.0 66320.0
43 140.0 28140.0
44 140.0 24780.0
45 37150.0 140.0
46 49470.0 140.0
47 62910.0 140.0
48 107950.0 24780.0
49 107950.0 23660.0
50 107950.0 30380.0
51 61790.0 140.0
52 140.0 33740.0
53 140.0 35980.0
54 45220.0 40600.0
55 33060.0 40600.0
56 47310.0 35000.0
57 85690.0 35000.0
58 41990.0 37800.0
59 60420.0 51800.0
60 30210.0 51800.0
61 37240.0 46200.0
62 51110.0 49000.0
63 38190.0 49000.0
64 35910.0 18200.0
65 25270.0 18200.0
66 28310.0 23800.0
67 27550.0 29400.0
68 31730.0 29400.0
69 84930.0 21000.0
70 75430.0 18200.0
71 60990.0 18200.0
72 52820.0 18200.0
73 64410.0 18200.0
74 38190.0 37800.0
75 21850.0 37800.0
76 22420.0 32200.0
77 12540.0 35000.0
78 23370.0 32200.0
79 27170.0 32200.0
80 18050.0 12600.0
81 9690.0 37800.0
82 12730.0 37800.0
83 22420.0 35000.0
84 10450.0 35000.0
85 4560.0 35000.0
86 30590.0 32200.0
87 28310.0 43400.0
88 6460.0 35000.0
89 8360.0 35000.0
90 10830.0 37800.0
91 14060.0 37800.0
92 10640.0 40600.0
93 17860.0 29400.0
94 12920.0 23800.0
95 29450.0 23800.0
96 29070.0 29400.0
97 30210.0 26600.0
98 31540.0 26600.0
99 35150.0 21000.0
100 34580.0 18200.0
101 37050.0 18200.0
102 39710.0 21000.0
103 29450.0 21000.0
104 26600.0 21000.0
105 27930.0 18200.0
106 30970.0 21000.0
107 46170.0 23800.0
108 52630.0 23800.0
109 34010.0 21000.0
110 36480.0 21000.0
111 55480.0 23800.0
112 54150.0 23800.0
113 83980.0 21000.0
114 82650.0 21000.0
115 84930.0 23800.0
116 84170.0 26600.0
117 76950.0 18200.0
118 76000.0 15400.0
119 73910.0 18200.0
120 74670.0 21000.0
121 74290.0 26600.0
122 62510.0 18200.0
123 60040.0 12600.0
124 59470.0 18200.0
125 59470.0 21000.0
126 46550.0 18200.0
127 49020.0 12600.0
128 49210.0 18200.0
129 46930.0 21000.0
130 58330.0 23800.0
131 61750.0 26600.0
132 60990.0 29400.0
133 81890.0 23800.0
134 82270.0 26600.0
135 64600.0 26600.0
136 63460.0 21000.0
137 50350.0 18200.0
138 61750.0 21000.0
139 65740.0 26600.0
140 65930.0 29400.0
141 68210.0 26600.0
142 18620.0 49000.0
143 40090.0 49000.0
144 64600.0 49000.0
145 40090.0 46200.0
146 65170.0 46200.0
147 67830.0 43400.0
148 53200.0 46200.0
149 54910.0 49000.0
150 53010.0 49000.0
151 57950.0 46200.0
152 66310.0 43400.0
153 37430.0 51800.0
154 33060.0 51800.0
155 32110.0 51800.0
156 56810.0 51800.0
157 68970.0 46200.0
158 64600.0 51800.0
159 66690.0 46200.0
160 60610.0 43400.0
161 49970.0 40600.0
162 47880.0 43400.0
163 46930.0 43400.0
164 53390.0 43400.0
165 36670.0 40600.0
166 32300.0 40600.0
167 34390.0 40600.0
