Instance_ID x_center y_center
0 43212.0 51384.0
1 42.0 25068.0
2 42.0 27852.0
3 35436.0 51384.0
4 35148.0 51384.0
5 33036.0 51384.0
6 35052.0 51384.0
7 29004.0 42.0
8 42.0 24588.0
9 42.0 24876.0
10 28908.0 42.0
11 33324.0 51384.0
12 34860.0 51384.0
13 42.0 25452.0
14 31788.0 42.0
15 35244.0 51384.0
16 32172.0 42.0
17 28428.0 42.0
18 27660.0 42.0
19 31884.0 42.0
20 35148.0 42.0
21 34572.0 42.0
22 33708.0 42.0
23 34956.0 42.0
24 42.0 22764.0
25 29196.0 42.0
26 30060.0 42.0
27 29964.0 42.0
28 30252.0 42.0
29 29292.0 42.0
30 32940.0 42.0
31 29676.0 42.0
32 30156.0 42.0
33 42.0 23052.0
34 42.0 23436.0
35 42.0 24204.0
36 42.0 24492.0
37 42.0 23148.0
38 23724.0 42.0
39 42.0 23628.0
40 42.0 22860.0
41 42.0 27660.0
42 42.0 22956.0
43 42.0 23724.0
44 42.0 23340.0
45 42.0 24012.0
46 28044.0 42.0
47 42.0 27756.0
48 42.0 27468.0
49 42.0 29004.0
50 42.0 28908.0
51 42.0 29196.0
52 42.0 25836.0
53 42.0 28716.0
54 42.0 28620.0
55 28716.0 42.0
56 42.0 26988.0
57 42.0 27372.0
58 32556.0 51384.0
59 27372.0 42.0
60 32076.0 51384.0
61 28332.0 42.0
62 27180.0 42.0
63 42.0 26508.0
64 27084.0 42.0
65 27852.0 42.0
66 42.0 26220.0
67 28812.0 42.0
68 31884.0 51384.0
69 31692.0 42.0
70 30444.0 42.0
71 32844.0 51384.0
72 32460.0 42.0
73 31308.0 42.0
74 42.0 27084.0
75 26892.0 42.0
76 32844.0 42.0
77 32556.0 42.0
78 32652.0 42.0
79 30636.0 42.0
80 32748.0 42.0
81 30924.0 42.0
82 30732.0 42.0
83 29388.0 42.0
84 27180.0 51384.0
85 42.0 26028.0
86 28908.0 51384.0
87 32460.0 51384.0
88 30060.0 51384.0
89 28716.0 51384.0
90 31404.0 51384.0
91 42.0 26700.0
92 42.0 26316.0
93 33708.0 51384.0
94 36780.0 51384.0
95 36012.0 51384.0
96 42.0 25932.0
97 31788.0 51384.0
98 33900.0 51384.0
99 27564.0 42.0
100 27756.0 42.0
101 42.0 24972.0
102 28236.0 42.0
103 32268.0 42.0
104 34764.0 51384.0
105 31596.0 42.0
106 34668.0 51384.0
107 42.0 24780.0
108 31116.0 42.0
109 31404.0 42.0
110 26316.0 42.0
111 33420.0 42.0
112 34668.0 42.0
113 34860.0 42.0
114 33324.0 42.0
115 34764.0 42.0
116 28620.0 42.0
117 29868.0 42.0
118 25932.0 42.0
119 28140.0 42.0
120 30444.0 51384.0
121 29484.0 42.0
122 31020.0 42.0
123 30348.0 42.0
124 29772.0 42.0
125 31500.0 51384.0
126 42.0 25356.0
127 42.0 25548.0
128 33612.0 51384.0
129 42.0 23916.0
130 42.0 25740.0
131 42.0 25260.0
132 30540.0 42.0
133 36396.0 51384.0
134 36108.0 51384.0
135 36684.0 51384.0
136 63240.0 27468.0
137 63240.0 27756.0
138 63240.0 25740.0
139 63240.0 27564.0
140 63240.0 27084.0
141 37260.0 51384.0
142 35628.0 51384.0
143 31500.0 42.0
144 63240.0 24684.0
145 63240.0 25164.0
146 31980.0 42.0
147 34476.0 42.0
148 32364.0 42.0
149 32076.0 42.0
150 35724.0 42.0
151 35052.0 42.0
152 35532.0 51384.0
153 33612.0 42.0
154 26508.0 42.0
155 38316.0 42.0
156 39372.0 42.0
157 37644.0 42.0
158 37068.0 42.0
159 63240.0 24012.0
160 37260.0 42.0
161 34380.0 42.0
162 63240.0 22572.0
163 42.0 22188.0
164 42.0 23820.0
165 42.0 25164.0
166 27276.0 42.0
167 42.0 26124.0
168 22188.0 51384.0
169 22284.0 51384.0
170 26316.0 51384.0
171 23148.0 51384.0
172 23052.0 51384.0
173 23244.0 51384.0
174 28620.0 51384.0
175 26508.0 51384.0
176 31596.0 51384.0
177 32940.0 51384.0
178 30828.0 51384.0
179 26604.0 51384.0
180 27276.0 51384.0
181 30540.0 51384.0
182 26700.0 51384.0
183 27660.0 51384.0
184 28044.0 51384.0
185 27756.0 51384.0
186 26796.0 51384.0
187 26892.0 51384.0
188 27948.0 51384.0
189 27084.0 51384.0
190 28140.0 51384.0
191 27852.0 51384.0
192 27468.0 51384.0
193 26988.0 51384.0
194 38220.0 51384.0
195 37068.0 51384.0
196 38124.0 51384.0
197 31308.0 51384.0
198 34188.0 51384.0
199 34284.0 51384.0
200 35724.0 51384.0
201 32364.0 51384.0
202 34572.0 51384.0
203 36588.0 51384.0
204 30636.0 51384.0
205 32748.0 51384.0
206 36492.0 51384.0
207 34092.0 51384.0
208 33132.0 51384.0
209 31980.0 51384.0
210 32652.0 51384.0
211 29964.0 51384.0
