Instance_ID x_center y_center
0 82429.0 13164.0
1 82429.0 12684.0
2 780.0 42.0
3 39660.0 66735.0
4 35052.0 66735.0
5 33228.0 66735.0
6 38988.0 66735.0
7 33900.0 66735.0
8 37932.0 66735.0
9 32940.0 66735.0
10 36396.0 66735.0
11 36492.0 66735.0
12 36300.0 66735.0
13 876.0 42.0
14 37452.0 66735.0
15 34860.0 66735.0
16 35820.0 66735.0
17 37836.0 66735.0
18 35532.0 66735.0
19 35244.0 66735.0
20 35724.0 66735.0
21 36204.0 66735.0
22 36108.0 66735.0
23 35916.0 66735.0
24 972.0 42.0
25 35340.0 66735.0
26 34764.0 66735.0
27 1068.0 42.0
28 1164.0 42.0
29 1260.0 42.0
30 1356.0 42.0
31 1452.0 42.0
32 34956.0 66735.0
33 35436.0 66735.0
34 3372.0 42.0
35 22476.0 66735.0
36 82429.0 13068.0
37 82429.0 45420.0
38 82429.0 49548.0
39 82429.0 44940.0
40 82429.0 49932.0
41 82429.0 40716.0
42 82429.0 50604.0
43 44460.0 42.0
44 82429.0 50508.0
45 44076.0 42.0
46 82429.0 50700.0
47 82429.0 12876.0
48 82429.0 44172.0
49 82429.0 49452.0
50 82429.0 44076.0
51 82429.0 51276.0
52 82429.0 38124.0
53 82429.0 50796.0
54 82429.0 41196.0
55 82429.0 50316.0
56 82429.0 49740.0
57 82429.0 49644.0
58 82429.0 44460.0
59 56652.0 66735.0
60 82429.0 50412.0
61 82429.0 47052.0
62 82429.0 48108.0
63 82429.0 50220.0
64 32652.0 66735.0
65 38796.0 66735.0
66 82429.0 42156.0
67 82429.0 49836.0
68 45324.0 42.0
69 43788.0 42.0
70 44844.0 42.0
71 44268.0 42.0
72 35628.0 66735.0
73 35148.0 66735.0
74 42.0 32940.0
75 42.0 32652.0
76 42.0 32268.0
77 42.0 32748.0
78 42.0 33612.0
79 42.0 34284.0
80 42.0 35052.0
81 42.0 33036.0
82 42.0 36396.0
83 42.0 32172.0
84 42.0 32076.0
85 42.0 35244.0
86 42.0 32556.0
87 42.0 33900.0
88 42.0 34380.0
89 42.0 35148.0
90 42.0 33132.0
91 42.0 34956.0
92 42.0 31692.0
93 42.0 31596.0
94 42.0 31500.0
95 42.0 33804.0
96 42.0 32364.0
97 42.0 34476.0
98 42.0 35916.0
99 42.0 31980.0
100 42.0 31884.0
101 42.0 33708.0
102 42.0 34188.0
103 42.0 35436.0
104 42.0 32844.0
105 42.0 35340.0
106 37740.0 66735.0
107 36012.0 66735.0
108 50028.0 42.0
109 82429.0 30348.0
110 82429.0 32748.0
111 82429.0 31500.0
112 82429.0 31884.0
113 82429.0 32076.0
114 49548.0 42.0
115 49932.0 42.0
116 50508.0 42.0
117 82429.0 31404.0
118 50316.0 42.0
119 49644.0 42.0
120 82429.0 31212.0
121 82429.0 31596.0
122 82429.0 32268.0
123 48108.0 42.0
124 46956.0 42.0
125 47532.0 42.0
126 49452.0 42.0
127 48012.0 42.0
