Instance_ID x_center y_center
0 51372.0 51109.0
1 37260.0 51109.0
2 17292.0 51109.0
3 40140.0 51109.0
4 39468.0 51109.0
5 38700.0 51109.0
6 39852.0 51109.0
7 36972.0 51109.0
8 32556.0 42.0
9 32652.0 51109.0
10 37068.0 51109.0
11 39276.0 51109.0
12 37356.0 51109.0
13 26124.0 51109.0
14 38028.0 51109.0
15 38892.0 51109.0
16 36876.0 42.0
17 36396.0 42.0
18 35436.0 42.0
19 39372.0 42.0
20 39276.0 42.0
21 38220.0 42.0
22 39468.0 42.0
23 36780.0 42.0
24 42.0 25932.0
25 35820.0 42.0
26 33612.0 42.0
27 34572.0 42.0
28 33708.0 42.0
29 35532.0 42.0
30 34764.0 42.0
31 36108.0 42.0
32 34956.0 42.0
33 42.0 25164.0
34 42.0 22380.0
35 42.0 22860.0
36 42.0 21996.0
37 42.0 21804.0
38 42.0 16908.0
39 42.0 19884.0
40 42.0 19788.0
41 16524.0 51109.0
42 42.0 21516.0
43 42.0 20748.0
44 42.0 20940.0
45 42.0 20844.0
46 30156.0 42.0
47 28044.0 42.0
48 26124.0 42.0
49 42.0 24588.0
50 42.0 25356.0
51 42.0 25644.0
52 26220.0 51109.0
53 42.0 24204.0
54 42.0 24684.0
55 33516.0 51109.0
56 32076.0 51109.0
57 28812.0 51109.0
58 34572.0 51109.0
59 32268.0 51109.0
60 33228.0 51109.0
61 33036.0 51109.0
62 32268.0 42.0
63 42.0 30732.0
64 36492.0 51109.0
65 34476.0 51109.0
66 29868.0 51109.0
67 33900.0 51109.0
68 36108.0 51109.0
69 36396.0 51109.0
70 36300.0 42.0
71 37068.0 42.0
72 34860.0 42.0
73 36972.0 42.0
74 42.0 29196.0
75 33996.0 42.0
76 37548.0 42.0
77 37356.0 42.0
78 37452.0 42.0
79 35916.0 42.0
80 36204.0 42.0
81 35148.0 42.0
82 34668.0 42.0
83 32748.0 42.0
84 32076.0 42.0
85 42.0 28620.0
86 34284.0 51109.0
87 33516.0 42.0
88 36012.0 42.0
89 35052.0 42.0
90 35628.0 51109.0
91 31788.0 51109.0
92 27756.0 51109.0
93 35052.0 51109.0
94 41772.0 51109.0
95 41580.0 51109.0
96 42.0 29484.0
97 37644.0 51109.0
98 38316.0 51109.0
99 35820.0 51109.0
100 33228.0 42.0
101 27660.0 51109.0
102 34284.0 42.0
103 38412.0 51109.0
104 37164.0 51109.0
105 38316.0 42.0
106 39084.0 51109.0
107 42.0 27756.0
108 35628.0 42.0
109 37260.0 42.0
110 33804.0 42.0
111 38796.0 42.0
112 39180.0 42.0
113 38604.0 42.0
114 37644.0 42.0
115 37164.0 42.0
116 33900.0 42.0
117 33420.0 42.0
118 31788.0 42.0
119 31596.0 42.0
120 33132.0 42.0
121 33324.0 42.0
122 34380.0 42.0
123 35244.0 42.0
124 35724.0 42.0
125 37452.0 51109.0
126 33132.0 51109.0
127 33804.0 51109.0
128 36684.0 51109.0
129 42.0 26412.0
130 26988.0 51109.0
131 34956.0 51109.0
132 34188.0 42.0
133 39564.0 51109.0
134 42444.0 51109.0
135 41292.0 51109.0
136 40812.0 51109.0
137 45612.0 51109.0
138 45708.0 51109.0
139 44652.0 51109.0
140 44556.0 51109.0
141 44748.0 51109.0
142 43116.0 51109.0
143 38412.0 42.0
144 39372.0 51109.0
145 41676.0 51109.0
146 39564.0 42.0
147 41100.0 42.0
148 41388.0 42.0
149 39852.0 42.0
150 41292.0 42.0
151 38124.0 42.0
152 40428.0 51109.0
153 40140.0 42.0
154 28716.0 42.0
155 43116.0 42.0
156 44364.0 42.0
157 43788.0 42.0
158 44172.0 42.0
159 44268.0 42.0
160 42828.0 42.0
161 40716.0 42.0
162 42060.0 51109.0
163 28620.0 42.0
164 24300.0 42.0
165 42.0 22956.0
166 28524.0 42.0
167 42.0 23532.0
168 42.0 22764.0
